mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp64,tiled,col_major,right,4096,128,7,40,40,40.111071,16.73075845,3.908427255e-16
fp64,tiled,col_major,right,4096,128,8,40,40,40.067553,16.74892999,3.908427255e-16
fp64,tiled,col_major,right,4096,128,9,40,40,40.079578,16.74390484,3.908427255e-16
fp32_fp64,tiled,col_major,right,4096,128,0,40,40,20.456152,32.80620128,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,1,40,40,20.484194,32.76129097,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,2,40,40,20.451562,32.81356407,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,3,40,40,20.600861,32.57575691,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,4,40,40,20.479603,32.76863521,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,5,40,40,20.446883,32.82107302,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,6,40,40,20.442238,32.82853081,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,7,40,40,20.398662,32.89865973,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,8,40,40,20.427166,32.85275304,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,9,40,40,20.441723,32.82935788,3.555111504e-16
fp32,tiled,col_major,right,4096,128,0,40,40,17.304498,38.78116776,1.288076751e-06
fp32,tiled,col_major,right,4096,128,1,40,40,17.290066,38.81353836,1.288076751e-06
fp32,tiled,col_major,right,4096,128,2,40,40,17.260432,38.88017635,1.288076751e-06
fp32,tiled,col_major,right,4096,128,3,40,40,17.250552,38.9024444,1.288076751e-06
fp32,tiled,col_major,right,4096,128,4,40,40,17.277488,38.84179459,1.288076751e-06
fp32,tiled,col_major,right,4096,128,5,40,40,17.267703,38.86380487,1.288076751e-06
fp32,tiled,col_major,right,4096,128,6,40,40,17.270999,38.8563881,1.288076751e-06
fp32,tiled,col_major,right,4096,128,7,40,40,17.264879,38.87016179,1.288076751e-06
fp32,tiled,col_major,right,4096,128,8,40,40,17.259,38.88340228,1.288076751e-06
fp32,tiled,col_major,right,4096,128,9,40,40,17.270115,38.85837703,1.288076751e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,128,0,40,40,34.527291,19.43646955,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,1,40,40,34.507115,19.44783387,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,2,40,40,34.487566,19.45885772,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,3,40,40,34.486287,19.4595794,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,4,40,40,34.46866,19.46953087,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,5,40,40,34.484218,19.46074694,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,6,40,40,34.472169,19.46754902,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,7,40,40,34.464266,19.47201313,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,8,40,40,34.457299,19.47595022,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,9,40,40,34.464385,19.47194589,2.796139708e-16
